PERIODSEQ;NAME
2533274790396879;Abril 2000
2533274790396896;Abril 2001
2533274790396913;Abril 2002
2533274790396930;Abril 2003
2533274790396947;Abril 2004
2533274790396964;Abril 2005
2533274790398902;Abril 2006
2533274790398914;Abril 2007
2533274790398926;Abril 2008
2533274790398938;Abril 2009
2533274790398129;Abril 2010
2533274790398141;Abril 2011
2533274790398153;Abril 2012
2533274790398165;Abril 2013
2533274790398539;Abril 2014
2533274790398641;Abril 2015
2533274790398658;Abril 2016
2533274790398675;Abril 2017
2533274790398692;Abril 2018
2533274790398709;Abril 2019
2533274790398727;Abril 2020
2533274790398744;Abril 2021
2533274790398761;Abril 2022
2533274790398778;Abril 2023
2533274790398795;Abril 2024
2533274790398812;Abril 2025
2533274790398829;Abril 2026
2533274790398845;Abril 2027
2533274790398862;Abril 2028
2533274790398879;Abril 2029
2533274790396883;Agosto 2000
2533274790396900;Agosto 2001
2533274790396917;Agosto 2002
2533274790396934;Agosto 2003
2533274790396951;Agosto 2004
2533274790396968;Agosto 2005
2533274790398906;Agosto 2006
2533274790398918;Agosto 2007
2533274790398930;Agosto 2008
2533274790398942;Agosto 2009
2533274790398133;Agosto 2010
2533274790398145;Agosto 2011
2533274790398157;Agosto 2012
2533274790398169;Agosto 2013
2533274790398543;Agosto 2014
2533274790398645;Agosto 2015
2533274790398662;Agosto 2016
2533274790398679;Agosto 2017
2533274790398696;Agosto 2018
2533274790398713;Agosto 2019
2533274790398731;Agosto 2020
2533274790398748;Agosto 2021
2533274790398765;Agosto 2022
2533274790398782;Agosto 2023
2533274790398799;Agosto 2024
2533274790398962;Agosto 2025
2533274790398816;Agosto 2025
2533274790398816;Agosto 2026
2533274790398849;Agosto 2027
2533274790398866;Agosto 2028
2533274790398883;Agosto 2029
2533274790395915;April 2006
2533274790395932;April 2007
2533274790395949;April 2008
2533274790395966;April 2009
2533274790395984;April 2010
2533274790396001;April 2011
2533274790396018;April 2012
2533274790396035;April 2013
2533274790396052;April 2014
2533274790395919;August 2006
2533274790395936;August 2007
2533274790395953;August 2008
2533274790395970;August 2009
2533274790395988;August 2010
2533274790396005;August 2011
2533274790396022;August 2012
2533274790396039;August 2013
2533274790396056;August 2014
2533274790395906;Decade 2000
2533274790395975;Decade 2010
2533274790398718;Decade 2020
2533274790395923;December 2006
2533274790395940;December 2007
2533274790395957;December 2008
2533274790395974;December 2009
2533274790395992;December 2010
2533274790396009;December 2011
2533274790396026;December 2012
2533274790396043;December 2013
2533274790396060;December 2014
2533274790396887;Diciembre 2000
2533274790396904;Diciembre 2001
2533274790396921;Diciembre 2002
2533274790396938;Diciembre 2003
2533274790396955;Diciembre 2004
2533274790397987;Diciembre 2005
2533274790398910;Diciembre 2006
2533274790398922;Diciembre 2007
2533274790398934;Diciembre 2008
2533274790398946;Diciembre 2009
2533274790398137;Diciembre 2010
2533274790398149;Diciembre 2011
2533274790398161;Diciembre 2012
2533274790396043;Diciembre 2013
2533274790398547;Diciembre 2014
2533274790398649;Diciembre 2015
2533274790398666;Diciembre 2016
2533274790398683;Diciembre 2017
2533274790398700;Diciembre 2018
2533274790398717;Diciembre 2019
2533274790398735;Diciembre 2020
2533274790398752;Diciembre 2021
2533274790398769;Diciembre 2022
2533274790398786;Diciembre 2023
2533274790398803;Diciembre 2024
2533274790398820;Diciembre 2025
2533274790398836;Diciembre 2026
2533274790398853;Diciembre 2027
2533274790398870;Diciembre 2028
2533274790398887;Diciembre 2029
2533274790396876;Enero 2000
2533274790396893;Enero 2001
2533274790396910;Enero 2002
2533274790396927;Enero 2003
2533274790396944;Enero 2004
2533274790396961;Enero 2005
2533274790398911;Enero 2007
2533274790398923;Enero 2008
2533274790398935;Enero 2009
2533274790395981;Enero 2010
2533274790398138;Enero 2011
2533274790398150;Enero 2012
2533274790398162;Enero 2013
2533274790398536;Enero 2014
2533274790398638;Enero 2015
2533274790398655;Enero 2016
2533274790398672;Enero 2017
2533274790398689;Enero 2018
2533274790398706;Enero 2019
2533274790398724;Enero 2020
2533274790398741;Enero 2021
2533274790398758;Enero 2022
2533274790398775;Enero 2023
2533274790398792;Enero 2024
2533274790398809;Enero 2025
